Team1,Team1Goals,Team2Goals,Team2,Winner,Losser
Iraq,2,1,CongoDR,Iraq,CongoDR
Israel,0,3,Wales,Wales,Israel
Kazakhstan,0,3,Iceland,Iceland,Kazakhstan
Mauritius,1,1,Togo,TIEMauritiusTogo,TIEMauritiusTogo
Morocco,0,1,Uruguay,Uruguay,Morocco
Netherlands,1,1,Turkey,TIENetherlandsTurkey,TIENetherlandsTurkey
Albania,2,1,Armenia,Albania,Armenia
Anguilla,0,3,Nicaragua,Nicaragua,Anguilla
Bermuda,3,0,Bahamas,Bermuda,Bahamas
Botswana,1,2,Mozambique,Mozambique,Botswana
Brazil,1,0,Chile,Brazil,Chile
Dominica,0,0,BritishVirginIslands,TIEDominicaBritishVirginIslands,TIEDominicaBritishVirginIslands
France,2,0,Denmark,France,Denmark
Georgia,0,2,Germany,Germany,Georgia
Guyana,2,0,Grenada,Guyana,Grenada
Honduras,3,0,FrenchGuyana,Honduras,FrenchGuyana
Hungary,0,0,Greece,TIEHungaryGreece,TIEHungaryGreece
Ireland,1,1,Poland,TIEIrelandPoland,TIEIrelandPoland
IvoryCoast,1,1,EquatorialGuinea,TIEIvoryCoastEquatorialGuinea,TIEIvoryCoastEquatorialGuinea
NorthernIreland,2,1,Finland,NorthernIreland,Finland
Portugal,2,1,Serbia,Portugal,Serbia
Romania,1,0,FaroeIslands,Romania,FaroeIslands
Scotland,6,1,Gibraltar,Scotland,Gibraltar
SouthAfrica,1,1,Nigeria,TIESouthAfricaNigeria,TIESouthAfricaNigeria
Tanzania,1,1,Malawi,TIETanzaniaMalawi,TIETanzaniaMalawi
Zambia,2,0,Rwanda,Zambia,Rwanda
Bahrain,2,1,Philippines,Bahrain,Philippines
Belarus,0,0,Gabon,TIEBelarusGabon,TIEBelarusGabon
Indonesia,2,1,Burma,Indonesia,Burma
Jamaica,3,0,Cuba,Jamaica,Cuba
Kuwait,1,3,Colombia,Colombia,Kuwait
Macedonia,0,0,Australia,TIEMacedoniaAustralia,TIEMacedoniaAustralia
Oman,1,4,Algeria,Algeria,Oman
Qatar,1,0,Slovenia,Qatar,Slovenia
SaudiArabia,2,1,Jordan,SaudiArabia,Jordan
Thailand,2,3,Cameroon,Cameroon,Thailand
Austria,1,1,BosniaHerzegovina,TIEAustriaBosniaHerzegovina,TIEAustriaBosniaHerzegovina
China,1,1,Tunisia,TIEChinaTunisia,TIEChinaTunisia
Estonia,1,1,Iceland,TIEEstoniaIceland,TIEEstoniaIceland
Ghana,1,1,Mali,TIEGhanaMali,TIEGhanaMali
Iraq,1,0,CongoDR,Iraq,CongoDR
Israel,0,1,Belgium,Belgium,Israel
Italy,1,1,England,TIEItalyEngland,TIEItalyEngland
Japan,5,1,Uzbekistan,Japan,Uzbekistan
SouthKorea,1,0,NewZealand,SouthKorea,NewZealand
Liechtenstein,1,0,SanMarino,Liechtenstein,SanMarino
Luxembourg,1,2,Turkey,Turkey,Luxembourg
Mauritania,2,0,Niger,Mauritania,Niger
Montserrat,2,2,Curasao,TIEMontserratCurasao,TIEMontserratCurasao
Netherlands,2,0,Spain,Netherlands,Spain
Panama,2,1,CostaRica,Panama,CostaRica
Peru,0,1,Venezuela,Venezuela,Peru
Portugal,0,2,CapeVerde,CapeVerde,Portugal
Russia,0,0,Kazakhstan,TIERussiaKazakhstan,TIERussiaKazakhstan
Singapore,2,2,Guam,TIESingaporeGuam,TIESingaporeGuam
Slovakia,1,0,CzechRepublic,Slovakia,CzechRepublic
Sweden,3,1,Iran,Sweden,Iran
Switzerland,1,1,USA,TIESwitzerlandUSA,TIESwitzerlandUSA
Tajikistan,2,3,Syria,Syria,Tajikistan
Ukraine,1,1,Latvia,TIEUkraineLatvia,TIEUkraineLatvia
USA,2,0,Mexico,USA,Mexico
Barbados,1,3,StKittsandNevis,StKittsandNevis,Barbados
Zambia,2,0,Malawi,Zambia,Malawi
Kazakhstan,0,0,BurkinaFaso,TIEKazakhstanBurkinaFaso,TIEKazakhstanBurkinaFaso
DominicanRepublic,6,0,CaymanIslands,DominicanRepublic,CaymanIslands
Grenada,1,2,Dominica,Dominica,Grenada
Lesotho,0,0,SouthAfrica,TIELesothoSouthAfrica,TIELesothoSouthAfrica
StLucia,1,2,StVincentandtheGrenadines,StVincentandtheGrenadines,StLucia
Lesotho,1,1,SouthAfrica,TIELesothoSouthAfrica,TIELesothoSouthAfrica
StLucia,0,2,Grenada,Grenada,StLucia
Namibia,0,0,Seychelles,TIENamibiaSeychelles,TIENamibiaSeychelles
